year,round,date,constructorId,driverId,time,milliseconds,status,estPosition,estPoints,win,score
1990,12,1990-09-09,ferrari,prost,+6.054,4683932.0,finished,2,18,1.0,1775.4289027807718
1990,12,1990-09-09,mclaren,berger,+7.404,4685282.0,finished,3,15,0.0,1624.0933015060607
1990,12,1990-09-09,tyrrell,alesi,\N,,spun off,26,0,0.0,1685.8330470988137
1990,13,1990-09-23,mclaren,senna,+2.808,4933822.0,finished,2,18,1.0,1823.5717997370227
1990,13,1990-09-23,ferrari,prost,+4.189,4935203.0,finished,3,15,0.0,1754.7201537391672
1990,13,1990-09-23,mclaren,berger,+5.896,4936910.0,finished,4,12,0.0,1619.6945401967175
1990,13,1990-09-23,tyrrell,alesi,\N,,+1 lap,8,4,1.0,1698.4805937644637
1990,14,1990-09-30,ferrari,prost,1:48:01.461,6481461.0,finished,1,25,1.0,1769.3503883386334
1990,14,1990-09-30,mclaren,berger,\N,,collision,13,0,1.0,1648.1599258789863
1990,14,1990-09-30,mclaren,senna,\N,,radiator,14,0,0.0,1799.106414054754
1990,14,1990-09-30,tyrrell,alesi,\N,,spun off,24,0,0.0,1676.136148148522
1990,15,1990-10-21,mclaren,berger,\N,,spun off,22,0,1.0,1674.5141798203344
1990,15,1990-10-21,mclaren,senna,\N,,collision,23,0,0.0,1776.7521601134058
1990,15,1990-10-21,ferrari,prost,\N,,collision,24,0,0.0,1750.2232664525259
1990,15,1990-10-21,tyrrell,alesi,\N,,withdrew,26,0,0.0,1654.1725263402961
1990,16,1990-11-04,ferrari,prost,+37.259,6621829.0,finished,3,15,0.0,1733.3475624668172
1990,16,1990-11-04,mclaren,berger,+46.862,6631432.0,finished,4,12,1.0,1700.488367637752
1990,16,1990-11-04,tyrrell,alesi,\N,,+1 lap,8,4,1.0,1670.8969463227447
1990,16,1990-11-04,mclaren,senna,\N,,spun off,15,0,0.0,1754.7779722959883
1991,1,1991-03-10,mclaren,senna,2:00:47.828,7247828.0,finished,1,25,1.0,1771.4918771341968
1991,1,1991-03-10,ferrari,prost,+16.322,7264150.0,finished,2,18,1.0,1749.5847223917335
1991,1,1991-03-10,ferrari,alesi,\N,,gearbox,12,0,0.0,1658.6597863978284
1991,1,1991-03-10,mclaren,berger,\N,,fuel pump,19,0,0.0,1687.7744627995435
1991,2,1991-03-24,mclaren,senna,1:38:28.128,5908128.0,finished,1,25,1.0,1785.021292466172
1991,2,1991-03-24,mclaren,berger,+5.416,5913544.0,finished,3,15,0.0,1678.2450474675682
1991,2,1991-03-24,ferrari,prost,+18.369,5926497.0,finished,4,12,1.0,1762.6177978568394
1991,2,1991-03-24,ferrari,alesi,+23.641,5931769.0,finished,6,8,0.0,1649.6267109327225
1991,3,1991-04-28,mclaren,senna,1:35:14.750,5714750.0,finished,1,25,1.0,1797.1344497185264
1991,3,1991-04-28,mclaren,berger,+1.675,5716425.0,finished,2,18,0.0,1670.1318902152138
